State,Robbery_Count,Assault_Count,Population,Robbery_per_100k,Assault_per_100k,Average_Price
California,69571,152589,39430000,176.4417955871164,386.98706568602586,275.2217840035058
Texas,231345,440114,31290000,739.3576222435282,1406.5643975711089,289.0105523125281
Rhode Island,4407,12478,1112000,396.3129496402877,1122.1223021582734,339.30149379339366
New York,39186,66813,8258000,474.52167595059336,809.0699927343182,207.7520388759772
Oregon,27976,69591,4272000,654.868913857678,1629.002808988764,128.21897460469577
Washington,73489,126838,7958000,923.4606685096758,1593.842674038703,168.123117884686
