price,Average_Price
99.0,168.123117884686
72.0,168.123117884686
185.0,168.123117884686
125.0,168.123117884686
97.0,168.123117884686
130.0,168.123117884686
99.0,168.123117884686
175.0,168.123117884686
95.0,168.123117884686
68.0,168.123117884686
68.0,168.123117884686
266.0,168.123117884686
80.0,168.123117884686
278.0,168.123117884686
98.0,168.123117884686
110.0,168.123117884686
125.0,168.123117884686
177.0,168.123117884686
140.0,168.123117884686
200.0,168.123117884686
495.0,168.123117884686
89.0,168.123117884686
229.0,168.123117884686
190.0,168.123117884686
88.0,168.123117884686
705.0,168.123117884686
97.0,168.123117884686
114.0,168.123117884686
80.0,168.123117884686
155.0,168.123117884686
100.0,168.123117884686
325.0,168.123117884686
99.0,168.123117884686
77.0,168.123117884686
98.0,168.123117884686
48.0,168.123117884686
229.0,168.123117884686
55.0,168.123117884686
96.0,168.123117884686
39.0,168.123117884686
109.0,168.123117884686
105.0,168.123117884686
114.0,168.123117884686
105.0,168.123117884686
245.0,168.123117884686
195.0,168.123117884686
195.0,168.123117884686
75.0,168.123117884686
72.0,168.123117884686
101.0,168.123117884686
146.0,168.123117884686
280.0,168.123117884686
192.0,168.123117884686
130.0,168.123117884686
76.0,168.123117884686
134.0,168.123117884686
61.0,168.123117884686
421.0,168.123117884686
121.0,168.123117884686
109.0,168.123117884686
105.0,168.123117884686
60.0,168.123117884686
185.0,168.123117884686
53.0,168.123117884686
53.0,168.123117884686
93.0,168.123117884686
108.0,168.123117884686
142.0,168.123117884686
145.0,168.123117884686
45.0,168.123117884686
150.0,168.123117884686
145.0,168.123117884686
134.0,168.123117884686
89.0,168.123117884686
200.0,168.123117884686
85.0,168.123117884686
78.0,168.123117884686
145.0,168.123117884686
95.0,168.123117884686
105.0,168.123117884686
125.0,168.123117884686
70.0,168.123117884686
80.0,168.123117884686
300.0,168.123117884686
127.0,168.123117884686
173.0,168.123117884686
89.0,168.123117884686
106.0,168.123117884686
107.0,168.123117884686
185.0,168.123117884686
155.0,168.123117884686
129.0,168.123117884686
111.0,168.123117884686
55.0,168.123117884686
75.0,168.123117884686
95.0,168.123117884686
110.0,168.123117884686
70.0,168.123117884686
116.0,168.123117884686
105.0,168.123117884686
90.0,168.123117884686
135.0,168.123117884686
143.0,168.123117884686
97.0,168.123117884686
86.0,168.123117884686
61.0,168.123117884686
84.0,168.123117884686
85.0,168.123117884686
150.0,168.123117884686
100.0,168.123117884686
100.0,168.123117884686
130.0,168.123117884686
225.0,168.123117884686
48.0,168.123117884686
105.0,168.123117884686
198.0,168.123117884686
285.0,168.123117884686
90.0,168.123117884686
71.0,168.123117884686
95.0,168.123117884686
92.0,168.123117884686
117.0,168.123117884686
60.0,168.123117884686
130.0,168.123117884686
82.0,168.123117884686
40.0,168.123117884686
100.0,168.123117884686
100.0,168.123117884686
35.0,168.123117884686
114.0,168.123117884686
113.0,168.123117884686
71.0,168.123117884686
200.0,168.123117884686
89.0,168.123117884686
89.0,168.123117884686
128.0,168.123117884686
108.0,168.123117884686
139.0,168.123117884686
156.0,168.123117884686
135.0,168.123117884686
100.0,168.123117884686
60.0,168.123117884686
94.0,168.123117884686
62.0,168.123117884686
148.0,168.123117884686
70.0,168.123117884686
89.0,168.123117884686
176.0,168.123117884686
90.0,168.123117884686
138.0,168.123117884686
128.0,168.123117884686
114.0,168.123117884686
99.0,168.123117884686
64.0,168.123117884686
148.0,168.123117884686
79.0,168.123117884686
93.0,168.123117884686
115.0,168.123117884686
100.0,168.123117884686
71.0,168.123117884686
95.0,168.123117884686
149.0,168.123117884686
141.0,168.123117884686
125.0,168.123117884686
105.0,168.123117884686
71.0,168.123117884686
93.0,168.123117884686
185.0,168.123117884686
147.0,168.123117884686
140.0,168.123117884686
294.0,168.123117884686
82.0,168.123117884686
300.0,168.123117884686
122.0,168.123117884686
75.0,168.123117884686
105.0,168.123117884686
258.0,168.123117884686
100.0,168.123117884686
75.0,168.123117884686
84.0,168.123117884686
150.0,168.123117884686
126.0,168.123117884686
109.0,168.123117884686
140.0,168.123117884686
124.0,168.123117884686
196.0,168.123117884686
78.0,168.123117884686
90.0,168.123117884686
542.0,168.123117884686
139.0,168.123117884686
314.0,168.123117884686
695.0,168.123117884686
121.0,168.123117884686
162.0,168.123117884686
100.0,168.123117884686
225.0,168.123117884686
271.0,168.123117884686
93.0,168.123117884686
69.0,168.123117884686
98.0,168.123117884686
105.0,168.123117884686
215.0,168.123117884686
90.0,168.123117884686
135.0,168.123117884686
55.0,168.123117884686
109.0,168.123117884686
98.0,168.123117884686
290.0,168.123117884686
120.0,168.123117884686
79.0,168.123117884686
94.0,168.123117884686
128.0,168.123117884686
154.0,168.123117884686
70.0,168.123117884686
695.0,168.123117884686
90.0,168.123117884686
159.0,168.123117884686
156.0,168.123117884686
120.0,168.123117884686
110.0,168.123117884686
162.0,168.123117884686
123.0,168.123117884686
199.0,168.123117884686
105.0,168.123117884686
112.0,168.123117884686
175.0,168.123117884686
303.0,168.123117884686
800.0,168.123117884686
480.0,168.123117884686
76.0,168.123117884686
102.0,168.123117884686
119.0,168.123117884686
147.0,168.123117884686
89.0,168.123117884686
99.0,168.123117884686
112.0,168.123117884686
105.0,168.123117884686
149.0,168.123117884686
161.0,168.123117884686
100.0,168.123117884686
158.0,168.123117884686
280.0,168.123117884686
140.0,168.123117884686
170.0,168.123117884686
150.0,168.123117884686
350.0,168.123117884686
90.0,168.123117884686
90.0,168.123117884686
190.0,168.123117884686
80.0,168.123117884686
150.0,168.123117884686
150.0,168.123117884686
220.0,168.123117884686
172.0,168.123117884686
110.0,168.123117884686
75.0,168.123117884686
89.0,168.123117884686
161.0,168.123117884686
160.0,168.123117884686
69.0,168.123117884686
100.0,168.123117884686
70.0,168.123117884686
155.0,168.123117884686
99.0,168.123117884686
120.0,168.123117884686
131.0,168.123117884686
40.0,168.123117884686
121.0,168.123117884686
64.0,168.123117884686
90.0,168.123117884686
128.0,168.123117884686
88.0,168.123117884686
128.0,168.123117884686
141.0,168.123117884686
125.0,168.123117884686
136.0,168.123117884686
195.0,168.123117884686
133.0,168.123117884686
225.0,168.123117884686
130.0,168.123117884686
245.0,168.123117884686
145.0,168.123117884686
112.0,168.123117884686
132.0,168.123117884686
125.0,168.123117884686
125.0,168.123117884686
985.0,168.123117884686
120.0,168.123117884686
595.0,168.123117884686
300.0,168.123117884686
97.0,168.123117884686
105.0,168.123117884686
105.0,168.123117884686
101.0,168.123117884686
102.0,168.123117884686
139.0,168.123117884686
150.0,168.123117884686
78.0,168.123117884686
106.0,168.123117884686
87.0,168.123117884686
240.0,168.123117884686
87.0,168.123117884686
60.0,168.123117884686
125.0,168.123117884686
107.0,168.123117884686
97.0,168.123117884686
276.0,168.123117884686
94.0,168.123117884686
140.0,168.123117884686
123.0,168.123117884686
925.0,168.123117884686
164.0,168.123117884686
95.0,168.123117884686
95.0,168.123117884686
87.0,168.123117884686
114.0,168.123117884686
230.0,168.123117884686
266.0,168.123117884686
109.0,168.123117884686
90.0,168.123117884686
112.0,168.123117884686
180.0,168.123117884686
100.0,168.123117884686
115.0,168.123117884686
56.0,168.123117884686
95.0,168.123117884686
75.0,168.123117884686
250.0,168.123117884686
140.0,168.123117884686
110.0,168.123117884686
216.0,168.123117884686
195.0,168.123117884686
150.0,168.123117884686
250.0,168.123117884686
75.0,168.123117884686
290.0,168.123117884686
240.0,168.123117884686
125.0,168.123117884686
100.0,168.123117884686
210.0,168.123117884686
110.0,168.123117884686
104.0,168.123117884686
85.0,168.123117884686
75.0,168.123117884686
129.0,168.123117884686
114.0,168.123117884686
84.0,168.123117884686
150.0,168.123117884686
90.0,168.123117884686
61.0,168.123117884686
105.0,168.123117884686
51.0,168.123117884686
120.0,168.123117884686
289.0,168.123117884686
80.0,168.123117884686
99.0,168.123117884686
125.0,168.123117884686
332.0,168.123117884686
179.0,168.123117884686
102.0,168.123117884686
185.0,168.123117884686
108.0,168.123117884686
90.0,168.123117884686
157.0,168.123117884686
116.0,168.123117884686
72.0,168.123117884686
183.0,168.123117884686
136.0,168.123117884686
220.0,168.123117884686
162.0,168.123117884686
125.0,168.123117884686
114.0,168.123117884686
105.0,168.123117884686
70.0,168.123117884686
89.0,168.123117884686
115.0,168.123117884686
75.0,168.123117884686
254.0,168.123117884686
71.0,168.123117884686
65.0,168.123117884686
45.0,168.123117884686
111.0,168.123117884686
135.0,168.123117884686
136.0,168.123117884686
393.0,168.123117884686
250.0,168.123117884686
89.0,168.123117884686
115.0,168.123117884686
70.0,168.123117884686
85.0,168.123117884686
95.0,168.123117884686
125.0,168.123117884686
95.0,168.123117884686
112.0,168.123117884686
55.0,168.123117884686
55.0,168.123117884686
86.0,168.123117884686
81.0,168.123117884686
65.0,168.123117884686
74.0,168.123117884686
115.0,168.123117884686
171.0,168.123117884686
215.0,168.123117884686
149.0,168.123117884686
80.0,168.123117884686
129.0,168.123117884686
105.0,168.123117884686
285.0,168.123117884686
92.0,168.123117884686
140.0,168.123117884686
302.0,168.123117884686
110.0,168.123117884686
101.0,168.123117884686
71.0,168.123117884686
425.0,168.123117884686
70.0,168.123117884686
575.0,168.123117884686
276.0,168.123117884686
97.0,168.123117884686
129.0,168.123117884686
106.0,168.123117884686
195.0,168.123117884686
89.0,168.123117884686
149.0,168.123117884686
119.0,168.123117884686
124.0,168.123117884686
84.0,168.123117884686
68.0,168.123117884686
129.0,168.123117884686
89.0,168.123117884686
75.0,168.123117884686
110.0,168.123117884686
95.0,168.123117884686
105.0,168.123117884686
50.0,168.123117884686
155.0,168.123117884686
250.0,168.123117884686
55.0,168.123117884686
59.0,168.123117884686
145.0,168.123117884686
89.0,168.123117884686
130.0,168.123117884686
125.0,168.123117884686
143.0,168.123117884686
110.0,168.123117884686
500.0,168.123117884686
540.0,168.123117884686
120.0,168.123117884686
150.0,168.123117884686
93.0,168.123117884686
94.0,168.123117884686
89.0,168.123117884686
129.0,168.123117884686
99.0,168.123117884686
103.0,168.123117884686
107.0,168.123117884686
80.0,168.123117884686
329.0,168.123117884686
175.0,168.123117884686
105.0,168.123117884686
58.0,168.123117884686
90.0,168.123117884686
130.0,168.123117884686
95.0,168.123117884686
179.0,168.123117884686
142.0,168.123117884686
97.0,168.123117884686
99.0,168.123117884686
114.0,168.123117884686
71.0,168.123117884686
88.0,168.123117884686
120.0,168.123117884686
85.0,168.123117884686
125.0,168.123117884686
138.0,168.123117884686
177.0,168.123117884686
367.0,168.123117884686
64.0,168.123117884686
165.0,168.123117884686
180.0,168.123117884686
234.0,168.123117884686
35.0,168.123117884686
114.0,168.123117884686
90.0,168.123117884686
65.0,168.123117884686
168.0,168.123117884686
1000.0,168.123117884686
60.0,168.123117884686
121.0,168.123117884686
125.0,168.123117884686
88.0,168.123117884686
80.0,168.123117884686
140.0,168.123117884686
125.0,168.123117884686
65.0,168.123117884686
65.0,168.123117884686
114.0,168.123117884686
65.0,168.123117884686
125.0,168.123117884686
110.0,168.123117884686
125.0,168.123117884686
59.0,168.123117884686
195.0,168.123117884686
102.0,168.123117884686
187.0,168.123117884686
120.0,168.123117884686
80.0,168.123117884686
98.0,168.123117884686
200.0,168.123117884686
196.0,168.123117884686
130.0,168.123117884686
72.0,168.123117884686
80.0,168.123117884686
82.0,168.123117884686
140.0,168.123117884686
95.0,168.123117884686
164.0,168.123117884686
298.0,168.123117884686
324.0,168.123117884686
75.0,168.123117884686
119.0,168.123117884686
136.0,168.123117884686
111.0,168.123117884686
135.0,168.123117884686
90.0,168.123117884686
399.0,168.123117884686
75.0,168.123117884686
291.0,168.123117884686
141.0,168.123117884686
115.0,168.123117884686
132.0,168.123117884686
135.0,168.123117884686
200.0,168.123117884686
169.0,168.123117884686
138.0,168.123117884686
180.0,168.123117884686
118.0,168.123117884686
58.0,168.123117884686
98.0,168.123117884686
150.0,168.123117884686
52.0,168.123117884686
69.0,168.123117884686
95.0,168.123117884686
76.0,168.123117884686
101.0,168.123117884686
105.0,168.123117884686
88.0,168.123117884686
225.0,168.123117884686
225.0,168.123117884686
86.0,168.123117884686
129.0,168.123117884686
62.0,168.123117884686
128.0,168.123117884686
109.0,168.123117884686
130.0,168.123117884686
150.0,168.123117884686
380.0,168.123117884686
50.0,168.123117884686
115.0,168.123117884686
77.0,168.123117884686
90.0,168.123117884686
119.0,168.123117884686
116.0,168.123117884686
150.0,168.123117884686
307.0,168.123117884686
200.0,168.123117884686
95.0,168.123117884686
57.0,168.123117884686
95.0,168.123117884686
99.0,168.123117884686
100.0,168.123117884686
175.0,168.123117884686
85.0,168.123117884686
95.0,168.123117884686
135.0,168.123117884686
123.0,168.123117884686
45.0,168.123117884686
149.0,168.123117884686
40.0,168.123117884686
110.0,168.123117884686
75.0,168.123117884686
94.0,168.123117884686
86.0,168.123117884686
279.0,168.123117884686
175.0,168.123117884686
92.0,168.123117884686
152.0,168.123117884686
85.0,168.123117884686
120.0,168.123117884686
151.0,168.123117884686
54.0,168.123117884686
145.0,168.123117884686
90.0,168.123117884686
115.0,168.123117884686
84.0,168.123117884686
112.0,168.123117884686
70.0,168.123117884686
348.0,168.123117884686
499.0,168.123117884686
111.0,168.123117884686
324.0,168.123117884686
340.0,168.123117884686
170.0,168.123117884686
361.0,168.123117884686
125.0,168.123117884686
150.0,168.123117884686
133.0,168.123117884686
49.0,168.123117884686
85.0,168.123117884686
105.0,168.123117884686
99.0,168.123117884686
