State,Robbery_Count,Assault_Count,Population,Robbery_per_100k,Assault_per_100k
California,69571,152589,39430000,176.4417955871164,386.98706568602586
Texas,231345,440114,31290000,739.3576222435282,1406.5643975711089
Rhode Island,4407,12478,1112000,396.31294964028774,1122.1223021582734
New York,39186,66813,8258000,474.52167595059336,809.0699927343182
Oregon,27976,69591,4272000,654.868913857678,1629.002808988764
Washington,73489,126838,7958000,923.4606685096758,1593.842674038703
