price,Average_Price
200.0,207.75203887597718
82.0,207.75203887597718
765.0,207.75203887597718
139.0,207.75203887597718
130.0,207.75203887597718
139.0,207.75203887597718
96.0,207.75203887597718
59.0,207.75203887597718
67.0,207.75203887597718
195.0,207.75203887597718
290.0,207.75203887597718
216.0,207.75203887597718
165.0,207.75203887597718
150.0,207.75203887597718
171.0,207.75203887597718
150.0,207.75203887597718
62.0,207.75203887597718
100.0,207.75203887597718
563.0,207.75203887597718
185.0,207.75203887597718
165.0,207.75203887597718
110.0,207.75203887597718
77.0,207.75203887597718
175.0,207.75203887597718
90.0,207.75203887597718
110.0,207.75203887597718
115.0,207.75203887597718
169.0,207.75203887597718
97.0,207.75203887597718
109.0,207.75203887597718
534.0,207.75203887597718
60.0,207.75203887597718
97.0,207.75203887597718
260.0,207.75203887597718
114.0,207.75203887597718
81.0,207.75203887597718
161.0,207.75203887597718
175.0,207.75203887597718
95.0,207.75203887597718
60.0,207.75203887597718
57.0,207.75203887597718
85.0,207.75203887597718
95.0,207.75203887597718
136.0,207.75203887597718
300.0,207.75203887597718
230.0,207.75203887597718
70.0,207.75203887597718
150.0,207.75203887597718
200.0,207.75203887597718
94.0,207.75203887597718
153.0,207.75203887597718
117.0,207.75203887597718
110.0,207.75203887597718
90.0,207.75203887597718
99.0,207.75203887597718
156.0,207.75203887597718
266.0,207.75203887597718
223.0,207.75203887597718
298.0,207.75203887597718
172.0,207.75203887597718
87.0,207.75203887597718
86.0,207.75203887597718
125.0,207.75203887597718
85.0,207.75203887597718
150.0,207.75203887597718
200.0,207.75203887597718
200.0,207.75203887597718
81.0,207.75203887597718
100.0,207.75203887597718
127.0,207.75203887597718
60.0,207.75203887597718
103.0,207.75203887597718
292.0,207.75203887597718
280.0,207.75203887597718
855.0,207.75203887597718
259.0,207.75203887597718
175.0,207.75203887597718
290.0,207.75203887597718
112.0,207.75203887597718
475.0,207.75203887597718
116.0,207.75203887597718
44.0,207.75203887597718
150.0,207.75203887597718
150.0,207.75203887597718
90.0,207.75203887597718
139.0,207.75203887597718
210.0,207.75203887597718
122.0,207.75203887597718
233.0,207.75203887597718
223.0,207.75203887597718
125.0,207.75203887597718
164.0,207.75203887597718
248.0,207.75203887597718
63.0,207.75203887597718
162.0,207.75203887597718
275.0,207.75203887597718
73.0,207.75203887597718
74.0,207.75203887597718
98.0,207.75203887597718
220.0,207.75203887597718
183.0,207.75203887597718
58.0,207.75203887597718
106.0,207.75203887597718
90.0,207.75203887597718
115.0,207.75203887597718
65.0,207.75203887597718
350.0,207.75203887597718
107.0,207.75203887597718
125.0,207.75203887597718
175.0,207.75203887597718
231.0,207.75203887597718
106.0,207.75203887597718
78.0,207.75203887597718
2500.0,207.75203887597718
101.0,207.75203887597718
150.0,207.75203887597718
222.0,207.75203887597718
116.0,207.75203887597718
295.0,207.75203887597718
127.0,207.75203887597718
192.0,207.75203887597718
71.0,207.75203887597718
57.0,207.75203887597718
