price,Average_Price
81.0,289.0105523125281
60.0,289.0105523125281
243.0,289.0105523125281
62.0,289.0105523125281
58.0,289.0105523125281
118.0,289.0105523125281
55.0,289.0105523125281
104.0,289.0105523125281
78.0,289.0105523125281
148.0,289.0105523125281
444.0,289.0105523125281
93.0,289.0105523125281
92.0,289.0105523125281
47.0,289.0105523125281
66.0,289.0105523125281
39.0,289.0105523125281
92.0,289.0105523125281
198.0,289.0105523125281
97.0,289.0105523125281
60.0,289.0105523125281
98.0,289.0105523125281
52.0,289.0105523125281
66.0,289.0105523125281
160.0,289.0105523125281
99.0,289.0105523125281
97.0,289.0105523125281
68.0,289.0105523125281
87.0,289.0105523125281
47.0,289.0105523125281
198.0,289.0105523125281
233.0,289.0105523125281
68.0,289.0105523125281
1016.0,289.0105523125281
142.0,289.0105523125281
100.0,289.0105523125281
325.0,289.0105523125281
27.0,289.0105523125281
123.0,289.0105523125281
232.0,289.0105523125281
99.0,289.0105523125281
78.0,289.0105523125281
12.0,289.0105523125281
47.0,289.0105523125281
158.0,289.0105523125281
300.0,289.0105523125281
680.0,289.0105523125281
451.0,289.0105523125281
136.0,289.0105523125281
182.0,289.0105523125281
159.0,289.0105523125281
85.0,289.0105523125281
64.0,289.0105523125281
130.0,289.0105523125281
157.0,289.0105523125281
99.0,289.0105523125281
111.0,289.0105523125281
86.0,289.0105523125281
70.0,289.0105523125281
120.0,289.0105523125281
70.0,289.0105523125281
46.0,289.0105523125281
43.0,289.0105523125281
58.0,289.0105523125281
106.0,289.0105523125281
92.0,289.0105523125281
83.0,289.0105523125281
46.0,289.0105523125281
67.0,289.0105523125281
280.0,289.0105523125281
84.0,289.0105523125281
98.0,289.0105523125281
68.0,289.0105523125281
113.0,289.0105523125281
90.0,289.0105523125281
69.0,289.0105523125281
198.0,289.0105523125281
286.0,289.0105523125281
104.0,289.0105523125281
99.0,289.0105523125281
629.0,289.0105523125281
89.0,289.0105523125281
163.0,289.0105523125281
334.0,289.0105523125281
311.0,289.0105523125281
85.0,289.0105523125281
77.0,289.0105523125281
87.0,289.0105523125281
142.0,289.0105523125281
70.0,289.0105523125281
121.0,289.0105523125281
138.0,289.0105523125281
113.0,289.0105523125281
450.0,289.0105523125281
132.0,289.0105523125281
500.0,289.0105523125281
132.0,289.0105523125281
32.0,289.0105523125281
44.0,289.0105523125281
42.0,289.0105523125281
29.0,289.0105523125281
29.0,289.0105523125281
173.0,289.0105523125281
175.0,289.0105523125281
108.0,289.0105523125281
500.0,289.0105523125281
355.0,289.0105523125281
64.0,289.0105523125281
368.0,289.0105523125281
125.0,289.0105523125281
189.0,289.0105523125281
320.0,289.0105523125281
215.0,289.0105523125281
65.0,289.0105523125281
232.0,289.0105523125281
237.0,289.0105523125281
104.0,289.0105523125281
127.0,289.0105523125281
72.0,289.0105523125281
42.0,289.0105523125281
93.0,289.0105523125281
27.0,289.0105523125281
901.0,289.0105523125281
71.0,289.0105523125281
154.0,289.0105523125281
49.0,289.0105523125281
168.0,289.0105523125281
114.0,289.0105523125281
78.0,289.0105523125281
119.0,289.0105523125281
48.0,289.0105523125281
191.0,289.0105523125281
45.0,289.0105523125281
77.0,289.0105523125281
275.0,289.0105523125281
121.0,289.0105523125281
59.0,289.0105523125281
121.0,289.0105523125281
95.0,289.0105523125281
78.0,289.0105523125281
121.0,289.0105523125281
121.0,289.0105523125281
183.0,289.0105523125281
350.0,289.0105523125281
173.0,289.0105523125281
112.0,289.0105523125281
1320.0,289.0105523125281
48.0,289.0105523125281
186.0,289.0105523125281
68.0,289.0105523125281
82.0,289.0105523125281
427.0,289.0105523125281
231.0,289.0105523125281
121.0,289.0105523125281
121.0,289.0105523125281
121.0,289.0105523125281
121.0,289.0105523125281
107.0,289.0105523125281
